Company Name,Size,Type of ownership,Industry,Headquarters
Chicago Public Schools,10000+ employees,School / School District,K-12 Education,"Chicago, IL"
Tempus Labs,501 to 1000 employees,Company - Private,Biotech & Pharmaceuticals,"Chicago, IL"
VIVA USA INC,51 to 200 employees,Company - Private,IT Services,"Rolling Meadows, IL"
360pi,1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,"Ottawa, Canada"
"TEKsystems, Inc",1001 to 5000 employees,Subsidiary or Business Segment,Staffing & Outsourcing,"Hanover, MD"
Leap,51 to 200 employees,Nonprofit Organization,Social Assistance,"New Haven, CT"
Braviant Holdings,51 to 200 employees,Company - Private,Lending,"Chicago, IL"
Bartech Group,51 to 200 employees,Company - Private,Construction,"South Holland, IL"
Lorven Technologies Inc,1 to 50 employees,Company - Private,Accounting,"Plainsboro, NJ"
Rush University Medical Center,5001 to 10000 employees,Hospital,Health Care Services & Hospitals,"Chicago, IL"
TechUSA,1001 to 5000 employees,Company - Private,Staffing & Outsourcing,"Millersville, MD"
Alliant Credit Union,501 to 1000 employees,Nonprofit Organization,Banks & Credit Unions,"Chicago, IL"
Green Key Resources,201 to 500 employees,Company - Private,Staffing & Outsourcing,"New York, NY"
University of Chicago,10000+ employees,College / University,Colleges & Universities,"Chicago, IL"
Roig Lawyers,201 to 500 employees,Private Practice / Firm,Legal,"Deerfield Beach, FL"
"PrivateBancorp, Inc.",10000+ employees,Company - Public,Banks & Credit Unions,"Chicago, IL"
PDI Software,501 to 1000 employees,Company - Private,Enterprise Software & Network Solutions,"Atlanta, GA"
TalentDash,1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,"Singapore, Singapore"
Invenergy,501 to 1000 employees,Company - Private,Energy,"Chicago, IL"
EY,10000+ employees,Company - Private,Accounting,"London, United Kingdom"
WIN Home Inspection,1 to 50 employees,Franchise,Construction,"Seattle, WA"
Ferrara Candy Company,5001 to 10000 employees,Company - Private,Food & Beverage Manufacturing,"Chicago, IL"
The Accuro Group,201 to 500 employees,Company - Private,Staffing & Outsourcing,"Raleigh, NC"
BDP International,1001 to 5000 employees,Company - Private,Logistics & Supply Chain,"Philadelphia, PA"
Numerator,1001 to 5000 employees,Company - Private,IT Services,"Chicago, IL"
Mondo,51 to 200 employees,Company - Private,Staffing & Outsourcing,"New York, NY"
Empire Today,1001 to 5000 employees,Company - Private,Other Retail Stores,"Northlake, IL"
"Fast Switch, LTD",501 to 1000 employees,Company - Private,IT Services,"Dublin, OH"
Sphinix Solutions,1 to 50 employees,Company - Private,IT Services,"New York, NY"
BMO Financial Group,10000+ employees,Company - Public,Banks & Credit Unions,"Toronto, Canada"
Epiq Systems,5001 to 10000 employees,Company - Private,Legal,"New York, NY"
PEAK6 Investments,1001 to 5000 employees,Company - Private,Venture Capital & Private Equity,"Chicago, IL"
ABS Graphics,51 to 200 employees,Company - Private,Advertising & Marketing,"Itasca, IL"
Willis Towers Watson,10000+ employees,Company - Public,Consulting,"London, United Kingdom"
Kforce,10000+ employees,Company - Public,Staffing & Outsourcing,"Tampa, FL"
The Chicago Lighthouse,501 to 1000 employees,Company - Private,Social Assistance,"Chicago, IL"
Genesys Talent,1 to 50 employees,Company - Private,Staffing & Outsourcing,"Houston, TX"
"Stampede Meat, Inc.",1001 to 5000 employees,Company - Private,Food & Beverage Manufacturing,"Bridgeview, IL"
ALERE,5001 to 10000 employees,Company - Public,Biotech & Pharmaceuticals,"Waltham, MA"
Kelly Mitchell Group,1001 to 5000 employees,Company - Private,Staffing & Outsourcing,"Saint Louis, MO"
"TreeHouse Foods, Inc.",10000+ employees,Company - Public,Food & Beverage Manufacturing,"Oak Brook, IL"
NJF Global Holdings,51 to 200 employees,Company - Private,Staffing & Outsourcing,"London, United Kingdom"
Chicago Public Schools,10000+ employees,School / School District,K-12 Education,"Chicago, IL"
Sphinix Solutions,1 to 50 employees,Company - Private,IT Services,"New York, NY"
Net2Source,1001 to 5000 employees,Company - Private,Staffing & Outsourcing,"Somerset, NJ"
Ongig,1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,"San Francisco, CA"
HIMSS,201 to 500 employees,Nonprofit Organization,Health Care Services & Hospitals,"Chicago, IL"
Flagstone Foods,501 to 1000 employees,Company - Public,Catering & Food Service Contractors,"Saint Paul, MN"
University of Illinois at Chicago,Unknown,College / University,Colleges & Universities,"Chicago, IL"
Northern Trust,10000+ employees,Company - Public,Banks & Credit Unions,"Chicago, IL"
Foresight ROI,1 to 50 employees,Company - Private,Advertising & Marketing,"Chicago, IL"
LEARN Charter School,201 to 500 employees,School / School District,K-12 Education,"Chicago, IL"
BankFinancial Corporation,201 to 500 employees,Company - Public,Banks & Credit Unions,"Burr Ridge, IL"
Avani Technology Solutions,501 to 1000 employees,Company - Private,IT Services,"Rochester, NY"
Chicago Public Schools,10000+ employees,School / School District,K-12 Education,"Chicago, IL"
"Staffigo Technical Services, LLC",51 to 200 employees,Company - Private,IT Services,"Woodridge, IL"
Capital Management,1 to 50 employees,Company - Private,Investment Banking & Asset Management,"Irvine, CA"
Nuveen,1001 to 5000 employees,Company - Private,Investment Banking & Asset Management,"Chicago, IL"
Maine Pointe,51 to 200 employees,Company - Private,Consulting,"Boston, MA"
"Synchronous Solutions, Inc",1 to 50 employees,Company - Private,IT Services,"Encinitas, CA"
HR Pundits,1 to 50 employees,Company - Private,Computer Hardware & Software,"Rolling Meadows, IL"
Softpath System LLC,201 to 500 employees,Company - Private,IT Services,"Norcross, GA"
Trinity Health,10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,"Livonia, MI"
Motorola Solutions,10000+ employees,Company - Public,Computer Hardware & Software,"Chicago, IL"
Medline Industries,10000+ employees,Company - Private,Health Care Products Manufacturing,"Northfield, IL"
Capgemini,10000+ employees,Company - Public,Enterprise Software & Network Solutions,"Paris, France"
Tempus Labs,501 to 1000 employees,Company - Private,Biotech & Pharmaceuticals,"Chicago, IL"
Signode,5001 to 10000 employees,Subsidiary or Business Segment,Industrial Manufacturing,"Glenview, IL"
Cedent Consulting,1 to 50 employees,Company - Private,Consulting,"Frisco, TX"
UI Health,5001 to 10000 employees,Company - Private,Health Care Services & Hospitals,"Iowa City, IA"
Robert Half,10000+ employees,Company - Public,Staffing & Outsourcing,"Menlo Park, CA"
Jobot,51 to 200 employees,Company - Private,Staffing & Outsourcing,"Irvine, CA"
Square One Resources,51 to 200 employees,Company - Private,Staffing & Outsourcing,"London, United Kingdom"
Esquire Recruiting,1 to 50 employees,Company - Private,Staffing & Outsourcing,"Lincolnshire, IL"
Source Alliance Network LLC,1 to 50 employees,Company - Private,Transportation Management,"Chicago, IL"
Walgreens,10000+ employees,Company - Public,Drug & Health Stores,"Deerfield, IL"
Tempus,51 to 200 employees,Company - Private,Financial Transaction Processing,"Washington, DC"
Steiner Electric Co,201 to 500 employees,Company - Private,Wholesale,"Elk Grove Village, IL"
"Xeris Pharmaceuticals, Inc.",51 to 200 employees,Company - Public,Biotech & Pharmaceuticals,"Chicago, IL"
TechUSA,1001 to 5000 employees,Company - Private,Staffing & Outsourcing,"Millersville, MD"
Metropolitan Family Services,201 to 500 employees,Company - Private,Membership Organizations,"Chicago, IL"
Flexport,1001 to 5000 employees,Company - Private,Logistics & Supply Chain,"San Francisco, CA"
TechUSA,1001 to 5000 employees,Company - Private,Staffing & Outsourcing,"Millersville, MD"
University of Illinois Hospital & Health Sciences System,1001 to 5000 employees,College / University,Health Care Services & Hospitals,"Chicago, IL"
Centene Corporation,10000+ employees,Company - Public,Insurance Carriers,"Saint Louis, MO"
University of Illinois at Chicago,Unknown,College / University,Colleges & Universities,"Chicago, IL"
RiverPoint,1 to 50 employees,Company - Private,Advertising & Marketing,"Pittsburgh, PA"
TalentDash,1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,"Singapore, Singapore"
"Retail Business Services, LLC",1001 to 5000 employees,Company - Public,Food & Beverage Stores,"Salisbury, NC"
22nd Century Technologies,1001 to 5000 employees,Company - Private,IT Services,"Somerset, NJ"
RiverPoint,1 to 50 employees,Company - Private,Accounting,"Des Plaines, IL"
Lorven Technologies Inc,1 to 50 employees,Company - Private,Accounting,"Plainsboro, NJ"
Walgreens,10000+ employees,Company - Public,Drug & Health Stores,"Deerfield, IL"
PNC Financial Services Group,10000+ employees,Company - Public,Banks & Credit Unions,"Pittsburgh, PA"
Lorven Technologies Inc,1 to 50 employees,Company - Private,Accounting,"Plainsboro, NJ"
N.F. Smith & Associates,201 to 500 employees,Company - Private,Wholesale,"Houston, TX"
Virtus Partners LLC,201 to 500 employees,Company - Private,Investment Banking & Asset Management,"Houston, TX"
Smith and Associates,1 to 50 employees,Self-employed,Legal,"Clinton, MD"
Andiamo,201 to 500 employees,Company - Private,Casual Restaurants,"Warren, MI"
Crown Castle USA Inc,1001 to 5000 employees,Company - Public,Telecommunications Services,"Houston, TX"
Luminess Cosmetics,51 to 200 employees,Company - Private,Consumer Products Manufacturing,"Stafford, TX"
Mondo,51 to 200 employees,Company - Private,Staffing & Outsourcing,"New York, NY"
cPanel,201 to 500 employees,Company - Private,Computer Hardware & Software,"Houston, TX"
Harris County,5001 to 10000 employees,Government,Health Care Services & Hospitals,"Houston, TX"
Entera,Unknown,Company - Private,Real Estate,"New York, NY"
Genesys Talent,1 to 50 employees,Company - Private,Staffing & Outsourcing,"Houston, TX"
Horne LLP,501 to 1000 employees,Company - Private,Accounting,"Ridgeland, MS"
The Bank of New York Mellon,10000+ employees,Company - Public,Investment Banking & Asset Management,"New York, NY"
McLane Global,51 to 200 employees,Company - Private,Wholesale,"Houston, TX"
Kelsey-Seybold Medical Group,1001 to 5000 employees,Private Practice / Firm,Health Care Services & Hospitals,"Pearland, TX"
Pareto Systems,1 to 50 employees,Company - Private,IT Services,"Stafford, TX"
Arthur Lawrence,201 to 500 employees,Company - Private,Consulting,"Upland, CA"
Houston-Galveston Area Council,51 to 200 employees,Government,Municipal Governments,"Houston, TX"
Rosen,201 to 500 employees,Company - Private,Oil & Gas Services,"Stans, Switzerland"
Randstad US,1001 to 5000 employees,Subsidiary or Business Segment,Staffing & Outsourcing,"Atlanta, GA"
FIS,10000+ employees,Company - Public,Financial Transaction Processing,"Jacksonville, FL"
Mondo,51 to 200 employees,Company - Private,Staffing & Outsourcing,"New York, NY"
"Avetta, LLC",201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,"Orem, UT"
Lorven Technologies Inc,1 to 50 employees,Company - Private,Accounting,"Plainsboro, NJ"
InvenTech Info,201 to 500 employees,Company - Private,IT Services,"Bengaluru, India"
Centraprise,51 to 200 employees,Company - Private,IT Services,"Edison, NJ"
"Staffigo Technical Services, LLC",51 to 200 employees,Company - Private,IT Services,"Woodridge, IL"
National Computing Group,1 to 50 employees,Company - Private,IT Services,"Pittsburgh, PA"
HealthHelp,201 to 500 employees,Subsidiary or Business Segment,Health Care Services & Hospitals,"Houston, TX"
InvenTech Info,201 to 500 employees,Company - Private,IT Services,"Bengaluru, India"
GeoDigital,51 to 200 employees,Company - Private,Computer Hardware & Software,"Atlanta, GA"
Capgemini,10000+ employees,Company - Public,Enterprise Software & Network Solutions,"Paris, France"
ICF,5001 to 10000 employees,Company - Public,Consulting,"Fairfax, VA"
Andiamo,201 to 500 employees,Company - Private,Casual Restaurants,"Warren, MI"
G.A.S. Global,10000+ employees,Company - Private,Consulting,"Sugar Land, TX"
Robert Half,10000+ employees,Company - Public,Staffing & Outsourcing,"Menlo Park, CA"
Arthur Lawrence,201 to 500 employees,Company - Private,Consulting,"Upland, CA"
EAG Services,1 to 50 employees,Company - Private,Consulting,"Houston, TX"
Sun and Ski Sports,501 to 1000 employees,Company - Private,Sporting Goods Stores,"Houston, TX"
Harris County,5001 to 10000 employees,Government,Health Care Services & Hospitals,"Houston, TX"
"Simplex info systems Inc,",1 to 50 employees,Company - Private,IT Services,"Nashua, NH"
Army Houston Recruiting Battalion,201 to 500 employees,Government,Federal Agencies,"Fort Knox, KY"
Wellcare,5001 to 10000 employees,Company - Public,Insurance Carriers,"Tampa, FL"
Yochana,201 to 500 employees,Company - Private,Staffing & Outsourcing,"Farmington Hills, MI"
TechUSA,1001 to 5000 employees,Company - Private,Staffing & Outsourcing,"Millersville, MD"
Centene Corporation,10000+ employees,Company - Public,Insurance Carriers,"Saint Louis, MO"
Virtus Partners LLC,201 to 500 employees,Company - Private,Investment Banking & Asset Management,"Houston, TX"
Kelsey Seybold Clinic,1001 to 5000 employees,Private Practice / Firm,Health Care Services & Hospitals,"Pearland, TX"
Harris Health System,5001 to 10000 employees,Government,Health Care Services & Hospitals,"Houston, TX"
Delphi-US,1 to 50 employees,Company - Private,Staffing & Outsourcing,"Newport, RI"
Sharpedge Solutions Inc,Unknown,Company - Private,Publishing,"Lombard, IL"
Smith Hanley Associates,1 to 50 employees,Company - Private,Staffing & Outsourcing,"New York, 061"
National Computing Group,1 to 50 employees,Company - Private,IT Services,"Pittsburgh, PA"
Crown Castle USA Inc,1001 to 5000 employees,Company - Public,Telecommunications Services,"Houston, TX"
"Infomerica, Inc",501 to 1000 employees,Company - Private,IT Services,"Cary, NC"
Servient,51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,"Houston, TX"
Kelsey Seybold Clinic,1001 to 5000 employees,Private Practice / Firm,Health Care Services & Hospitals,"Pearland, TX"
Icon Consultants,1001 to 5000 employees,Company - Private,Staffing & Outsourcing,"Houston, TX"
UTHealth Houston,5001 to 10000 employees,College / University,Colleges & Universities,"Houston, TX"
The Bank of New York Mellon,10000+ employees,Company - Public,Investment Banking & Asset Management,"New York, NY"
Kelsey Seybold Clinic,1001 to 5000 employees,Private Practice / Firm,Health Care Services & Hospitals,"Pearland, TX"
Radiology Partners,1001 to 5000 employees,Company - Private,Health Care Services & Hospitals,"El Segundo, CA"
The Jupiter Group,51 to 200 employees,Unknown,Staffing & Outsourcing,"Pearland, TX"
Kelsey-Seybold Medical Group,1001 to 5000 employees,Private Practice / Firm,Health Care Services & Hospitals,"Pearland, TX"
Crawford Thomas Recruiting,51 to 200 employees,Company - Private,Staffing & Outsourcing,"Orlando, FL"
Jobot,51 to 200 employees,Company - Private,Staffing & Outsourcing,"Irvine, CA"
Talbridge Corporation,51 to 200 employees,Contract,Staffing & Outsourcing,"Houston, TX"
eTeam Inc.,51 to 200 employees,Company - Private,Staffing & Outsourcing,"South Plainfield, NJ"
LanceSoft Inc,1001 to 5000 employees,Company - Private,Staffing & Outsourcing,"Herndon, VA"
"Central Business Solutions, Inc",51 to 200 employees,Company - Private,Consulting,"Fremont, CA"
Texas Dow Employees Credit Union,501 to 1000 employees,Nonprofit Organization,Banks & Credit Unions,"Lake Jackson, TX"
InvenTech Info,201 to 500 employees,Company - Private,IT Services,"Bengaluru, India"
Harris County Appraisal District,501 to 1000 employees,Government,Municipal Governments,"Houston, TX"
MUFG,10000+ employees,Company - Public,Banks & Credit Unions,"Tokyo, Japan"
Integrate,201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,"Phoenix, AZ"
Desert Financial Credit Union,1001 to 5000 employees,Company - Public,Banks & Credit Unions,"Phoenix, AZ"
Corbins Electric,501 to 1000 employees,Company - Private,Construction,"Phoenix, AZ"
"The Judge Group, Inc.",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,"Wayne, PA"
Discount Tire,10000+ employees,Company - Private,Automotive Parts & Accessories Stores,"Scottsdale, AZ"
Desert Financial Credit Union,1001 to 5000 employees,Company - Public,Banks & Credit Unions,"Phoenix, AZ"
Robert Half,10000+ employees,Company - Public,Staffing & Outsourcing,"Menlo Park, CA"
"TekCom Resources, Inc.",51 to 200 employees,Company - Private,Staffing & Outsourcing,"King of Prussia, PA"
Viasat,5001 to 10000 employees,Company - Public,Telecommunications Services,"Carlsbad, CA"
National Education Partners,201 to 500 employees,Company - Private,Colleges & Universities,"Scottsdale, AZ"
Parker & Lynch,501 to 1000 employees,Company - Public,Staffing & Outsourcing,"Jacksonville, FL"
The Accuro Group,201 to 500 employees,Company - Private,Staffing & Outsourcing,"Raleigh, NC"
Modis,5001 to 10000 employees,Subsidiary or Business Segment,Staffing & Outsourcing,"Zurich, Switzerland"
Gatestone & Co. Inc,1001 to 5000 employees,Company - Private,Staffing & Outsourcing,"North York, Canada"
Diverse Lynx,501 to 1000 employees,Company - Private,IT Services,"Princeton, NJ"
FAMILY INVOLVEMENT CENTER,1 to 50 employees,Nonprofit Organization,Social Assistance,"Phoenix, AZ"
ON Semiconductor,10000+ employees,Company - Public,Electrical & Electronic Manufacturing,"Phoenix, AZ"
Charles Schwab,10000+ employees,Company - Public,Investment Banking & Asset Management,"San Francisco, CA"
Softcom Systems,1 to 50 employees,Company - Private,IT Services,"Princeton, NJ"
National Education Partners,201 to 500 employees,Company - Private,Colleges & Universities,"Scottsdale, AZ"
MUFG,10000+ employees,Company - Public,Banks & Credit Unions,"Tokyo, Japan"
MUFG,10000+ employees,Company - Public,Banks & Credit Unions,"Tokyo, Japan"
Alaska USA,1001 to 5000 employees,Other Organization,Banks & Credit Unions,"Anchorage, AK"
The Paragon Group,1001 to 5000 employees,Company - Public,Banks & Credit Unions,"SUNDERLAND, United Kingdom"
Amazon,10000+ employees,Company - Public,Internet,"Seattle, WA"
Arizona State University,5001 to 10000 employees,College / University,Colleges & Universities,"Tempe, AZ"
PK,1001 to 5000 employees,Company - Private,IT Services,"Portland, OR"
Mondo,51 to 200 employees,Company - Private,Staffing & Outsourcing,"New York, NY"
IntraEdge,501 to 1000 employees,Company - Private,IT Services,"Chandler, AZ"
"Circle K Stores, Inc.",10000+ employees,Company - Public,Gas Stations,"Tempe, AZ"
Shamrock Foods,1001 to 5000 employees,Company - Private,Food & Beverage Manufacturing,"Phoenix, AZ"
Tech Finders,1 to 50 employees,Company - Private,Staffing & Outsourcing,"Phoenix, AZ"
Infotree Service Inc,51 to 200 employees,Company - Private,Advertising & Marketing,"Canton, MI"
O'Reilly Automotive,10000+ employees,Company - Public,Automotive Parts & Accessories Stores,"Springfield, MO"
Uhaul,10000+ employees,Company - Public,Truck Rental & Leasing,"Reno, NV"
MUFG,10000+ employees,Company - Public,Banks & Credit Unions,"Tokyo, Japan"
Matrix Medical Network,1001 to 5000 employees,Company - Private,Health Care Services & Hospitals,"Scottsdale, AZ"
"Avacend, Inc.",51 to 200 employees,Company - Private,Staffing & Outsourcing,"Alpharetta, GA"
Kaygen Inc.,1 to 50 employees,Company - Private,Consulting,"Irvine, CA"
Nucleusteq,201 to 500 employees,Company - Private,IT Services,"Phoenix, AZ"
Strategic Systems,201 to 500 employees,Company - Private,IT Services,"Dublin, OH"
Edupoint,1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,"Irvine, CA"
Vanguard,10000+ employees,Company - Private,Investment Banking & Asset Management,"Malvern, PA"
Efinancial,201 to 500 employees,Company - Private,Insurance Agencies & Brokerages,"Bellevue, WA"
Envision Healthcare,10000+ employees,Company - Private,Health Care Services & Hospitals,"Nashville, TN"
Bartech Group,51 to 200 employees,Company - Private,Construction,"South Holland, IL"
Saviance Technologies,201 to 500 employees,Company - Private,IT Services,"Metuchen, NJ"
Atos Syntel Inc.,10000+ employees,Subsidiary or Business Segment,IT Services,"Troy, MI"
The Accuro Group,201 to 500 employees,Company - Private,Staffing & Outsourcing,"Raleigh, NC"
"TekCom Resources, Inc.",51 to 200 employees,Company - Private,Staffing & Outsourcing,"King of Prussia, PA"
Diverse Lynx,501 to 1000 employees,Company - Private,IT Services,"Princeton, NJ"
Na Ali'i,201 to 500 employees,Company - Private,Consulting,"Honolulu, HI"
Mastech Digital,1001 to 5000 employees,Company - Public,Staffing & Outsourcing,"Moon Township, PA"
Minit Charger,1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,"Cranbury, NJ"
Infotree Service Inc,51 to 200 employees,Company - Private,Advertising & Marketing,"Canton, MI"
Pegasus Knowledge Solutions,201 to 500 employees,Company - Private,Accounting,"Schaumburg, IL"
AllianceRx Walgreens Prime,1001 to 5000 employees,Company - Private,Biotech & Pharmaceuticals,"Orlando, FL"
"Circle K Stores, Inc.",10000+ employees,Company - Public,Gas Stations,"Tempe, AZ"
Signature Consultants,1001 to 5000 employees,Company - Private,Staffing & Outsourcing,"Fort Lauderdale, FL"
MUFG,10000+ employees,Company - Public,Banks & Credit Unions,"Tokyo, Japan"
Softcom Systems,1 to 50 employees,Company - Private,IT Services,"Princeton, NJ"
"The Judge Group, Inc.",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,"Wayne, PA"
First American Financial Corporation,10000+ employees,Company - Public,Insurance Carriers,"Santa Ana, CA"
"ICST, LLC",501 to 1000 employees,Company - Private,Staffing & Outsourcing,"South Portland, ME"
Equity Methods,51 to 200 employees,Company - Private,Consulting,"Scottsdale, AZ"
Stantec,10000+ employees,Company - Public,Architectural & Engineering Services,"Edmonton, Canada"
CSAA Insurance Group,1001 to 5000 employees,Company - Private,Insurance Carriers,"Walnut Creek, CA"
Crisis Response Network,51 to 200 employees,Nonprofit Organization,Health Care Services & Hospitals,"Tempe, AZ"
Kforce,10000+ employees,Company - Public,Staffing & Outsourcing,"Tampa, FL"
Kineticom,201 to 500 employees,Company - Private,Staffing & Outsourcing,"San Diego, CA"
InterSources Inc.,51 to 200 employees,Company - Private,Staffing & Outsourcing,"Fremont, CA"
GTN Technical Staffing,201 to 500 employees,Company - Private,Staffing & Outsourcing,"Dallas, TX"
"AOC Solutions, Inc.",51 to 200 employees,Company - Private,Computer Hardware & Software,"Chantilly, VA"
"Circle K Stores, Inc.",10000+ employees,Company - Public,Gas Stations,"Tempe, AZ"
Blue Cross Blue Shield of Arizona,1001 to 5000 employees,Nonprofit Organization,Insurance Carriers,"Phoenix, AZ"
Avani Technology Solutions,501 to 1000 employees,Company - Private,IT Services,"Rochester, NY"
MUFG,10000+ employees,Company - Public,Banks & Credit Unions,"Tokyo, Japan"
TransPerfect,1001 to 5000 employees,Company - Private,Consulting,"New York, NY"
CVS Health,10000+ employees,Company - Public,Health Care Services & Hospitals,"Woonsocket, RI"
Greenphire,201 to 500 employees,Company - Private,Computer Hardware & Software,"King of Prussia, PA"
ECRI,201 to 500 employees,Nonprofit Organization,Health Care Services & Hospitals,"Plymouth Meeting, PA"
United BioSource,1001 to 5000 employees,Other Organization,Biotech & Pharmaceuticals,"Blue Bell, PA"
Revantage Corporate Services,201 to 500 employees,Company - Private,Real Estate,"Chicago, IL"
Community Behavioral Health,201 to 500 employees,Company - Private,Health Care Services & Hospitals,"Phila, PA"
STRATIS IoT Inc,1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,"Philadelphia, PA"
Ampcus Incorporated,501 to 1000 employees,Company - Private,Consulting,"Chantilly, VA"
Mondo,51 to 200 employees,Company - Private,Staffing & Outsourcing,"New York, NY"
Mondo,51 to 200 employees,Company - Private,Staffing & Outsourcing,"New York, NY"
Seer Interactive,51 to 200 employees,Company - Private,Internet,"Philadelphia, PA"
"Staffigo Technical Services, LLC",51 to 200 employees,Company - Private,IT Services,"Woodridge, IL"
"Tetra Tech, Inc.",10000+ employees,Company - Public,Architectural & Engineering Services,"Pasadena, CA"
"The Judge Group, Inc.",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,"Wayne, PA"
Apex Systems,1001 to 5000 employees,Subsidiary or Business Segment,Staffing & Outsourcing,"Glen Allen, VA"
"Micro-Data Systems, Inc.",51 to 200 employees,Company - Private,IT Services,"Holmdel, NJ"
Techligent,1 to 50 employees,Company - Private,IT Services,"Vienna, VA"
Gopuff,1001 to 5000 employees,Company - Private,Express Delivery Services,"Philadelphia, PA"
Collabera,10000+ employees,Company - Private,IT Services,"Basking Ridge, NJ"
Mondo,51 to 200 employees,Company - Private,Staffing & Outsourcing,"New York, NY"
University of Pennsylvania,10000+ employees,College / University,Colleges & Universities,"Philadelphia, PA"
"VSE, Inc.",1 to 50 employees,Company - Private,"Cable, Internet & Telephone Providers","Langhorne, PA"
Eastern Metal Recycling,1001 to 5000 employees,Company - Private,Metals Brokers,"Warrington, United Kingdom"
EY,10000+ employees,Company - Private,Accounting,"London, United Kingdom"
Red Tettemer,51 to 200 employees,Company - Private,Advertising & Marketing,"Philadelphia, PA"
Robert Half,10000+ employees,Company - Public,Staffing & Outsourcing,"Menlo Park, CA"
IntegriChain,201 to 500 employees,Company - Private,IT Services,"Philadelphia, PA"
PMHCC Inc.,501 to 1000 employees,Nonprofit Organization,Health Care Services & Hospitals,"Philadelphia, PA"
University of Pennsylvania,10000+ employees,College / University,Colleges & Universities,"Philadelphia, PA"
AmeriHealth Caritas,5001 to 10000 employees,Company - Private,Insurance Carriers,"Philadelphia, PA"
Temple University Health System,5001 to 10000 employees,Hospital,Health Care Services & Hospitals,"Philadelphia, PA"
JPMorgan Chase & Co.,10000+ employees,Company - Public,Investment Banking & Asset Management,"New York, NY"
"Staffigo Technical Services, LLC",51 to 200 employees,Company - Private,IT Services,"Woodridge, IL"
Avantor,10000+ employees,Company - Public,Biotech & Pharmaceuticals,"Radnor, PA"
Tandigm Health LLC,51 to 200 employees,Company - Private,Health Care Services & Hospitals,"West Conshohocken, PA"
University of Pennsylvania,10000+ employees,College / University,Colleges & Universities,"Philadelphia, PA"
Amplify Systems,1 to 50 employees,Company - Public,IT Services,"Salem, NH"
Change Healthcare,10000+ employees,Company - Public,IT Services,"Nashville, TN"
Bryn Mawr Communications LLC,1 to 50 employees,Company - Private,Publishing,"Wayne, PA"
Mondo,51 to 200 employees,Company - Private,Staffing & Outsourcing,"New York, NY"
Dextro Software Systems,51 to 200 employees,Company - Private,IT Services,"Princeton Junction, NJ"
Vanguard,10000+ employees,Company - Private,Investment Banking & Asset Management,"Malvern, PA"
TechUSA,1001 to 5000 employees,Company - Private,Staffing & Outsourcing,"Millersville, MD"
Mondo,51 to 200 employees,Company - Private,Staffing & Outsourcing,"New York, NY"
ConnectiveRx,1001 to 5000 employees,Company - Private,Biotech & Pharmaceuticals,"Whippany, NJ"
Piper Companies,201 to 500 employees,Company - Private,Staffing & Outsourcing,"Mc Lean, VA"
"Innovative Development, LLC",51 to 200 employees,Company - Private,Consulting,"Harleysville, PA"
Philabundance,201 to 500 employees,Nonprofit Organization,Social Assistance,"Philadelphia, PA"
Collabera,10000+ employees,Company - Private,IT Services,"Basking Ridge, NJ"
"Genuent Global, LLC",201 to 500 employees,Company - Private,Staffing & Outsourcing,"Houston, TX"
University of Pennsylvania,10000+ employees,College / University,Colleges & Universities,"Philadelphia, PA"
CHOP,1001 to 5000 employees,Nonprofit Organization,Health Care Services & Hospitals,"Philadelphia, PA"
University of Pennsylvania,10000+ employees,College / University,Colleges & Universities,"Philadelphia, PA"
"Login Consulting Services, Inc",51 to 200 employees,Company - Private,Consulting,"El Segundo, CA"
ORS Partners,51 to 200 employees,Company - Private,Staffing & Outsourcing,"Audubon, PA"
Fred Beans,1001 to 5000 employees,Company - Private,Vehicle Dealers,"Doylestown, PA"
"Zachary Piper Solutions, LLC",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,"Mc Lean, VA"
Infinity Consulting Solutions,501 to 1000 employees,Company - Private,Staffing & Outsourcing,"New York, NY"
"PMHCC, Inc.",501 to 1000 employees,Nonprofit Organization,Health Care Services & Hospitals,"Philadelphia, PA"
Angeion Group,1 to 50 employees,Company - Private,Consulting,"Philadelphia, PA"
"iTech Solutions, Inc",51 to 200 employees,Company - Private,Staffing & Outsourcing,"Farmington, CT"
AccessLex Institute,51 to 200 employees,Nonprofit Organization,Colleges & Universities,"West Chester, PA"
Vanguard,10000+ employees,Company - Private,Investment Banking & Asset Management,"Malvern, PA"
TD Bank,10000+ employees,Company - Public,Banks & Credit Unions,"Toronto, Canada"
Boeing,10000+ employees,Company - Public,Aerospace & Defense,"Chicago, IL"
